prolific_id,session_id,model,questions,start_time,end_time,chat_duration
1234,739a0316-548c-45b2-8b3f-69c41abf78c1,GPT-4_notfinetuned,2,2025-04-30 17:32:40,2025-04-30 17:37:09,4 min 29 sec
pk4534423,d2e402ba-6519-42ad-a19f-cc9b56e439fc,GPT-4_notfinetuned,1,2025-04-30 17:37:13,2025-04-30 20:43:55,186 min 42 sec
pk4534423,f7a26064-8203-47aa-89e8-cbd0cc2b8568,LLaMA_notfinetuned,1,2025-04-30 20:43:58,2025-05-01 10:16:32,812 min 34 sec
pk4534423,b9e7e1d6-018a-44b4-8ae4-017f258755db,GPT-4_notfinetuned,1,2025-05-01 11:06:43,2025-05-01 15:21:11,254 min 28 sec
1234,7ea46e83-35e9-4398-be6b-a52c20494925,LLaMA_notfinetuned,0,2025-05-01 12:14:08,,
1234,529f80ba-48f8-4fbb-9920-d6dacace827d,GPT-4_notfinetuned,4,2025-05-01 15:21:26,2025-05-01 15:24:52,3 min 26 sec
1234,f592fd46-d114-4a8c-87fa-384789598189,LLaMA_notfinetuned,2,2025-05-01 15:24:55,2025-05-01 15:25:17,0 min 22 sec
1234,b3e65ed4-f4ee-4fbc-a614-d4e22271231a,GPT-4_notfinetuned,6,2025-05-01 15:25:22,2025-05-01 15:31:02,5 min 40 sec
1234,91ddbe78-1a58-4868-a056-138a6d4e2e14,LLaMA_notfinetuned,2,2025-05-01 15:31:05,2025-05-01 15:31:16,0 min 11 sec
1234,5a9a2a5b-5b19-4f5f-9bf5-ef03678d499f,GPT-4_notfinetuned,7,2025-05-01 15:31:19,2025-05-01 15:38:31,7 min 12 sec
1234,2dc772e4-7380-4874-8b26-a8cd4a98514a,LLaMA_notfinetuned,1,2025-05-01 15:38:35,2025-05-01 15:38:48,0 min 13 sec
1234,610cdfad-6eec-4d9a-8398-9067a28afeb3,GPT-4_notfinetuned,0,2025-05-01 15:38:52,,
1234,ef40a671-4ec4-4f28-876c-66f74a9d7e94,GPT-4_notfinetuned,1,2025-05-01 17:06:37,2025-05-01 17:07:42,1 min 5 sec
1234,3eb4c8e3-cab6-4338-abac-da512f1fe6ae,LLaMA_notfinetuned,1,2025-05-01 17:07:46,2025-05-01 17:07:53,0 min 7 sec
1234,8d90172c-41d6-4f84-90ac-e5cc34ffc2f2,GPT-4_notfinetuned,10,2025-05-01 17:07:56,2025-05-01 17:45:16,37 min 20 sec
1234,85201910-e133-4e4f-b402-1e92925991de,GPT-4_notfinetuned,1,2025-05-01 17:45:27,2025-05-01 17:46:27,1 min 0 sec
1234,62081886-59a5-4d36-9a76-1c7a1413e365,GPT-4_notfinetuned,1,2025-05-01 17:47:11,2025-05-01 19:25:23,98 min 12 sec
169,21d1a484-8c97-4577-a1b1-41625a260d05,LLaMA_notfinetuned,1,2025-05-01 19:25:32,2025-05-01 19:25:41,0 min 9 sec
1234,6e361c19-14ab-42ed-945b-25dc84d8e0f8,GPT-4_notfinetuned,0,2025-05-01 19:28:24,,
1234,b756918c-c119-45e9-ab36-0ef27f801eee,GPT-4_notfinetuned,3,2025-05-02 11:27:31,2025-05-02 11:35:35,8 min 4 sec
1234,1b947c07-9e32-4c69-a4fa-f217edcb0f44,GPT-4_notfinetuned,5,2025-05-02 11:35:38,2025-05-02 11:51:43,16 min 5 sec
1234,3806fb7e-f53b-4ce9-872e-5c2249a7fa42,GPT-4_notfinetuned,1,2025-05-02 11:51:46,2025-05-02 12:27:55,36 min 9 sec
1234,6c9b8f9e-e5cf-4ea9-8ff0-14566b29c79f,LLaMA_notfinetuned,0,2025-05-02 12:27:59,,
